word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,license,example_jp,example_reading,example_vi,example_en
あちら,あちら,achira,N5,noun,kia; hướng kia (lịch sự),over there; that person (polite),direction|polite,790,self,self-authored,お手洗いはあちらです。,おてあらいはあちらです。,Nhà vệ sinh ở phía kia.,The restroom is over there.
お父さん,おとうさん,otousan,N5,noun,bố; cha (của người khác),father (someone else's),family,785,self,self-authored,お父さんはどこですか。,おとうさんはどこですか。,Bố bạn ở đâu?,Where is your father?
お母さん,おかあさん,okaasan,N5,noun,mẹ (của người khác),mother (someone else's),family,780,self,self-authored,お母さんが呼んでいます。,おかあさんがよんでいます。,Mẹ bạn đang gọi đó.,Your mother is calling.
父,ちち,chichi,N5,noun,bố tôi; cha tôi,my father,family,775,self,self-authored,父は会社員です。,ちちはかいしゃいんです。,Bố tôi là nhân viên công ty.,My father is a company employee.
母,はは,haha,N5,noun,mẹ tôi,my mother,family,770,self,self-authored,母は料理が上手です。,はははりょうりがじょうずです。,Mẹ tôi nấu ăn giỏi.,My mother is good at cooking.
お兄さん,おにいさん,oniisan,N5,noun,anh trai (của người khác),older brother (someone else's),family,765,self,self-authored,お兄さんは何歳ですか。,おにいさんはなんさいですか。,Anh trai bạn bao nhiêu tuổi?,How old is your older brother?
お姉さん,おねえさん,oneesan,N5,noun,chị gái (của người khác),older sister (someone else's),family,760,self,self-authored,お姉さんはきれいですね。,おねえさんはきれいですね。,Chị gái bạn đẹp nhỉ.,Your older sister is pretty.
弟,おとうと,otouto,N5,noun,em trai,younger brother,family,755,self,self-authored,弟は小学生です。,おとうとはしょうがくせいです。,Em trai tôi học tiểu học.,My younger brother is in elementary school.
妹,いもうと,imouto,N5,noun,em gái,younger sister,family,750,self,self-authored,妹はかわいいです。,いもうとはかわいいです。,Em gái tôi dễ thương.,My younger sister is cute.
家族,かぞく,kazoku,N5,noun,gia đình,family,family,745,self,self-authored,私の家族は四人です。,わたしのかぞくはよにんです。,Gia đình tôi có bốn người.,My family has four people.
子供,こども,kodomo,N5,noun,trẻ em; con cái,child; children,family|daily,740,self,self-authored,子供たちが公園で遊んでいます。,こどもたちがこうえんであそんでいます。,Bọn trẻ đang chơi ở công viên.,The children are playing in the park.
名前,なまえ,namae,N5,noun,tên; tên gọi,name,daily,735,self,self-authored,名前を書いてください。,なまえをかいてください。,Hãy viết tên của bạn.,Please write your name.
人,ひと,hito,N5,noun,người; con người,person; people,daily,730,self,self-authored,あの人は先生ですか。,あのひとはせんせいですか。,Người kia có phải giáo viên không?,Is that person a teacher?
今日,きょう,kyou,N5,noun,hôm nay,today,time|daily,725,self,self-authored,今日はいい天気ですね。,きょうはいいてんきですね。,Hôm nay thời tiết đẹp nhỉ.,The weather is nice today isn't it.
昨日,きのう,kinou,N5,noun,hôm qua,yesterday,time|daily,720,self,self-authored,昨日は疲れました。,きのうはつかれました。,Hôm qua tôi mệt.,I was tired yesterday.
明日,あした,ashita,N5,noun,ngày mai,tomorrow,time|daily,715,self,self-authored,明日また来てください。,あしたまたきてください。,Ngày mai hãy đến lại.,Please come again tomorrow.
明後日,あさって,asatte,N5,noun,ngày kia,the day after tomorrow,time,710,self,self-authored,明後日は休みです。,あさってはやすみです。,Ngày kia tôi nghỉ.,The day after tomorrow is my day off.
今,いま,ima,N5,noun,bây giờ; lúc này,now; right now,time|daily,705,self,self-authored,今何時ですか。,いまなんじですか。,Bây giờ là mấy giờ?,What time is it now?
朝,あさ,asa,N5,noun,buổi sáng,morning,time|daily,700,self,self-authored,朝ごはんを食べましたか。,あさごはんをたべましたか。,Bạn đã ăn sáng chưa?,Did you eat breakfast?
昼,ひる,hiru,N5,noun,buổi trưa; giữa trưa,noon; midday,time|daily,695,self,self-authored,昼ご飯はどこで食べますか。,ひるごはんはどこでたべますか。,Bạn ăn trưa ở đâu?,Where do you eat lunch?
夜,よる,yoru,N5,noun,buổi tối; đêm,evening; night,time|daily,690,self,self-authored,夜は早く寝ます。,よるははやくねます。,Buổi tối tôi đi ngủ sớm.,I go to bed early at night.
今年,ことし,kotoshi,N5,noun,năm nay,this year,time,685,self,self-authored,今年は忙しいです。,ことしはいそがしいです。,Năm nay tôi bận.,This year I am busy.
来年,らいねん,rainen,N5,noun,năm sau,next year,time,680,self,self-authored,来年日本に行きます。,らいねんにほんにいきます。,Năm sau tôi đi Nhật.,I will go to Japan next year.
去年,きょねん,kyonen,N5,noun,năm ngoái,last year,time,675,self,self-authored,去年日本語を始めました。,きょねんにほんごをはじめました。,Năm ngoái tôi bắt đầu học tiếng Nhật.,I started Japanese last year.
来週,らいしゅう,raishuu,N5,noun,tuần sau,next week,time,670,self,self-authored,来週テストがあります。,らいしゅうてすとがあります。,Tuần sau có bài kiểm tra.,There is a test next week.
先週,せんしゅう,senshuu,N5,noun,tuần trước,last week,time,665,self,self-authored,先週映画を見ました。,せんしゅうえいがをみました。,Tuần trước tôi xem phim.,I watched a movie last week.
今週,こんしゅう,konshuu,N5,noun,tuần này,this week,time,660,self,self-authored,今週は忙しいです。,こんしゅうはいそがしいです。,Tuần này tôi bận.,I am busy this week.
来月,らいげつ,raigetsu,N5,noun,tháng sau,next month,time,655,self,self-authored,来月旅行に行きます。,らいげつりょこうにいきます。,Tháng sau tôi đi du lịch.,I will travel next month.
先月,せんげつ,sengetsu,N5,noun,tháng trước,last month,time,650,self,self-authored,先月日本に来ました。,せんげつにほんにきました。,Tháng trước tôi đến Nhật.,I came to Japan last month.
毎日,まいにち,mainichi,N5,adverb,mỗi ngày; hàng ngày,every day,time|daily,645,self,self-authored,毎日日本語を練習します。,まいにちにほんごをれんしゅうします。,Tôi luyện tập tiếng Nhật mỗi ngày.,I practice Japanese every day.
毎朝,まいあさ,maiasa,N5,adverb,mỗi buổi sáng; hàng sáng,every morning,time|daily,640,self,self-authored,毎朝コーヒーを飲みます。,まいあさこーひーをのみます。,Mỗi sáng tôi uống cà phê.,I drink coffee every morning.
毎晩,まいばん,maiban,N5,adverb,mỗi buổi tối; hàng tối,every evening,time|daily,635,self,self-authored,毎晩本を読みます。,まいばんほんをよみます。,Mỗi tối tôi đọc sách.,I read a book every evening.
時間,じかん,jikan,N5,noun,thời gian; giờ,time; hour,time|daily,630,self,self-authored,時間がありません。,じかんがありません。,Tôi không có thời gian.,I don't have time.
先生,せんせい,sensei,N5,noun,thầy giáo; giáo viên,teacher,school|person,625,self,self-authored,先生に質問します。,せんせいにしつもんします。,Tôi hỏi thầy giáo.,I ask the teacher a question.
学生,がくせい,gakusei,N5,noun,học sinh; sinh viên,student,school|person,620,self,self-authored,学生が多いです。,がくせいがおおいです。,Có nhiều học sinh.,There are many students.
教室,きょうしつ,kyoushitsu,N5,noun,phòng học; lớp học,classroom,school|place,615,self,self-authored,教室に入ってください。,きょうしつにはいってください。,Hãy vào phòng học.,Please enter the classroom.
本,ほん,hon,N5,noun,sách; quyển sách,book,school|daily,610,self,self-authored,本を読みます。,ほんをよみます。,Tôi đọc sách.,I read a book.
ノート,ノート,nooto,N5,noun,vở; tập ghi chép,notebook,school|stationery,605,self,self-authored,ノートに書いてください。,ノートにかいてください。,Hãy viết vào vở.,Please write in your notebook.
えんぴつ,えんぴつ,enpitsu,N5,noun,bút chì,pencil,school|stationery,600,self,self-authored,えんぴつで書きます。,えんぴつでかきます。,Tôi viết bằng bút chì.,I write with a pencil.
ペン,ペン,pen,N5,noun,bút (mực),pen,school|stationery,595,self,self-authored,ペンを貸してください。,ペンをかしてください。,Cho tôi mượn bút.,Please lend me your pen.
かばん,かばん,kaban,N5,noun,túi xách; cặp,bag,school|daily,590,self,self-authored,かばんの中に本があります。,かばんのなかにほんがあります。,Trong cặp có sách.,There is a book in the bag.
日本語,にほんご,nihongo,N5,noun,tiếng Nhật,Japanese language,school|language,585,self,self-authored,日本語が好きです。,にほんごがすきです。,Tôi thích tiếng Nhật.,I like Japanese.
英語,えいご,eigo,N5,noun,tiếng Anh,English language,school|language,580,self,self-authored,英語を話せますか。,えいごをはなせますか。,Bạn có nói được tiếng Anh không?,Can you speak English?
テスト,テスト,tesuto,N5,noun,bài kiểm tra; thi,test; exam,school,575,self,self-authored,明日テストがあります。,あしたてすとがあります。,Ngày mai có bài kiểm tra.,There is a test tomorrow.
クラス,クラス,kurasu,N5,noun,lớp học; lớp,class,school,570,self,self-authored,クラスに何人いますか。,クラスにはなんにんいますか。,Trong lớp có bao nhiêu người?,How many people are in the class?
ご飯,ごはん,gohan,N5,noun,cơm; bữa ăn,rice; meal,food|daily,565,self,self-authored,ご飯を食べましょう。,ごはんをたべましょう。,Hãy ăn cơm nào.,Let's eat rice.
パン,パン,pan,N5,noun,bánh mì,bread,food|daily,560,self,self-authored,朝はパンを食べます。,あさはパンをたべます。,Buổi sáng tôi ăn bánh mì.,I eat bread in the morning.
卵,たまご,tamago,N5,noun,trứng,egg,food,555,self,self-authored,卵を二つ買いました。,たまごをふたつかいました。,Tôi mua hai quả trứng.,I bought two eggs.
肉,にく,niku,N5,noun,thịt,meat,food,550,self,self-authored,肉が好きですか。,にくがすきですか。,Bạn có thích thịt không?,Do you like meat?
魚,さかな,sakana,N5,noun,cá,fish,food,545,self,self-authored,魚を食べます。,さかなをたべます。,Tôi ăn cá.,I eat fish.
野菜,やさい,yasai,N5,noun,rau; rau củ,vegetable,food|health,540,self,self-authored,野菜をたくさん食べてください。,やさいをたくさんたべてください。,Hãy ăn nhiều rau vào.,Please eat lots of vegetables.
果物,くだもの,kudamono,N5,noun,hoa quả; trái cây,fruit,food,535,self,self-authored,果物が好きです。,くだものがすきです。,Tôi thích hoa quả.,I like fruit.
水,みず,mizu,N5,noun,nước,water,food|drink|daily,530,self,self-authored,水を飲んでください。,みずをのんでください。,Hãy uống nước.,Please drink water.
お茶,おちゃ,ocha,N5,noun,trà; nước trà,tea,drink|daily,525,self,self-authored,お茶を一杯どうぞ。,おちゃをいっぱいどうぞ。,Mời uống một tách trà.,Please have a cup of tea.
コーヒー,コーヒー,koohii,N5,noun,cà phê,coffee,drink,520,self,self-authored,コーヒーが好きです。,コーヒーがすきです。,Tôi thích cà phê.,I like coffee.
牛乳,ぎゅうにゅう,gyuunyuu,N5,noun,sữa bò,milk,drink|food,515,self,self-authored,毎朝牛乳を飲みます。,まいあさぎゅうにゅうをのみます。,Mỗi sáng tôi uống sữa.,I drink milk every morning.
ビール,ビール,biiru,N5,noun,bia,beer,drink,510,self,self-authored,ビールを飲みますか。,ビールをのみますか。,Bạn có uống bia không?,Do you drink beer?
お酒,おさけ,osake,N5,noun,rượu; sake,alcohol; sake,drink,505,self,self-authored,お酒はあまり飲みません。,おさけはあまりのみません。,Tôi không uống rượu lắm.,I don't drink much alcohol.
砂糖,さとう,satou,N5,noun,đường,sugar,food|condiment,500,self,self-authored,コーヒーに砂糖を入れます。,コーヒーにさとうをいれます。,Tôi cho đường vào cà phê.,I put sugar in my coffee.
塩,しお,shio,N5,noun,muối,salt,food|condiment,495,self,self-authored,塩を少し入れてください。,しおをすこしいれてください。,Cho một ít muối vào.,Put in a little salt please.
りんご,りんご,ringo,N5,noun,táo,apple,food|fruit,490,self,self-authored,りんごを一つ食べます。,りんごをひとつたべます。,Tôi ăn một quả táo.,I eat one apple.
みかん,みかん,mikan,N5,noun,quýt; cam quýt,mandarin orange,food|fruit,485,self,self-authored,みかんが甘いです。,みかんがあまいです。,Quýt ngọt nhỉ.,The mandarin orange is sweet.
頭,あたま,atama,N5,noun,đầu; cái đầu,head,body,480,self,self-authored,頭が痛いです。,あたまがいたいです。,Tôi bị đau đầu.,I have a headache.
目,め,me,N5,noun,mắt,eye,body,475,self,self-authored,目が疲れました。,めがつかれました。,Mắt tôi mỏi rồi.,My eyes are tired.
耳,みみ,mimi,N5,noun,tai,ear,body,470,self,self-authored,耳が聞こえません。,みみがきこえません。,Tôi không nghe thấy.,I cannot hear.
口,くち,kuchi,N5,noun,miệng; mồm,mouth,body,465,self,self-authored,口を大きく開けてください。,くちをおおきくあけてください。,Hãy há miệng to ra.,Please open your mouth wide.
手,て,te,N5,noun,tay; bàn tay,hand,body|daily,460,self,self-authored,手を洗ってください。,てをあらってください。,Hãy rửa tay.,Please wash your hands.
足,あし,ashi,N5,noun,chân; bàn chân,foot; leg,body,455,self,self-authored,足が痛いです。,あしがいたいです。,Chân tôi đau.,My leg hurts.
体,からだ,karada,N5,noun,cơ thể; thân thể,body,body|health,450,self,self-authored,体に気をつけてください。,からだにきをつけてください。,Hãy giữ gìn sức khỏe.,Please take care of your body.
病気,びょうき,byouki,N5,noun,bệnh; ốm,illness; sickness,health,445,self,self-authored,昨日から病気です。,きのうからびょうきです。,Tôi bị ốm từ hôm qua.,I have been sick since yesterday.
薬,くすり,kusuri,N5,noun,thuốc,medicine,health,440,self,self-authored,薬を飲みます。,くすりをのみます。,Tôi uống thuốc.,I take medicine.
家,いえ,ie,N5,noun,nhà; ngôi nhà,house; home,home|daily,435,self,self-authored,家に帰ります。,いえにかえります。,Tôi về nhà.,I return home.
部屋,へや,heya,N5,noun,phòng; căn phòng,room,home,430,self,self-authored,部屋をきれいにしました。,へやをきれいにしました。,Tôi dọn phòng sạch rồi.,I cleaned the room.
ドア,ドア,doa,N5,noun,cửa (ra vào),door,home,425,self,self-authored,ドアを閉めてください。,ドアをしめてください。,Hãy đóng cửa.,Please close the door.
窓,まど,mado,N5,noun,cửa sổ,window,home,420,self,self-authored,窓を開けてもいいですか。,まどをあけてもいいですか。,Tôi mở cửa sổ được không?,May I open the window?
テレビ,テレビ,terebi,N5,noun,tivi; truyền hình,television; TV,home|electronics,415,self,self-authored,テレビを見ます。,テレビをみます。,Tôi xem tivi.,I watch TV.
電話,でんわ,denwa,N5,noun,điện thoại; cuộc gọi,telephone; phone call,home|electronics,410,self,self-authored,電話をかけます。,でんわをかけます。,Tôi gọi điện thoại.,I make a phone call.
冷蔵庫,れいぞうこ,reizouko,N5,noun,tủ lạnh,refrigerator,home|appliance,405,self,self-authored,冷蔵庫に入れてください。,れいぞうこにいれてください。,Hãy cho vào tủ lạnh.,Please put it in the refrigerator.
いす,いす,isu,N5,noun,ghế; chiếc ghế,chair,home|furniture,400,self,self-authored,いすに座ってください。,いすにすわってください。,Hãy ngồi xuống ghế.,Please sit in the chair.
つくえ,つくえ,tsukue,N5,noun,bàn (học/làm việc),desk,home|furniture|school,395,self,self-authored,つくえの上に本があります。,つくえのうえにほんがあります。,Trên bàn có sách.,There is a book on the desk.
時計,とけい,tokei,N5,noun,đồng hồ,clock; watch,daily|home,390,self,self-authored,時計を見ます。,とけいをみます。,Tôi xem đồng hồ.,I look at the clock.
お金,おかね,okane,N5,noun,tiền,money,daily|finance,385,self,self-authored,お金がありません。,おかねがありません。,Tôi không có tiền.,I don't have money.
電気,でんき,denki,N5,noun,điện; ánh đèn; đèn,electricity; electric light,daily|home,380,self,self-authored,電気を消してください。,でんきをけしてください。,Hãy tắt đèn.,Please turn off the light.
新聞,しんぶん,shinbun,N5,noun,báo; tờ báo,newspaper,daily,375,self,self-authored,毎朝新聞を読みます。,まいあさしんぶんをよみます。,Mỗi sáng tôi đọc báo.,I read the newspaper every morning.
写真,しゃしん,shashin,N5,noun,ảnh; bức ảnh,photo; photograph,daily,370,self,self-authored,写真を撮ってもいいですか。,しゃしんをとってもいいですか。,Tôi chụp ảnh được không?,May I take a photo?
地図,ちず,chizu,N5,noun,bản đồ,map,daily|travel,365,self,self-authored,地図を見てください。,ちずをみてください。,Hãy xem bản đồ.,Please look at the map.
バス,バス,basu,N5,noun,xe buýt; xe bus,bus,transport,360,self,self-authored,バスで行きます。,バスでいきます。,Tôi đi bằng xe buýt.,I go by bus.
タクシー,タクシー,takushii,N5,noun,taxi,taxi,transport,355,self,self-authored,タクシーに乗ります。,タクシーにのります。,Tôi đi taxi.,I take a taxi.
車,くるま,kuruma,N5,noun,xe hơi; ô tô,car; automobile,transport,350,self,self-authored,車で来ました。,くるまできました。,Tôi đến bằng xe hơi.,I came by car.
自転車,じてんしゃ,jitensha,N5,noun,xe đạp,bicycle,transport,345,self,self-authored,自転車で学校に行きます。,じてんしゃでがっこうにいきます。,Tôi đi học bằng xe đạp.,I go to school by bicycle.
道,みち,michi,N5,noun,con đường; đường đi,road; way; path,daily|transport,340,self,self-authored,道が分かりません。,みちがわかりません。,Tôi không biết đường.,I don't know the way.
公園,こうえん,kouen,N5,noun,công viên,park,place|daily,335,self,self-authored,公園で散歩します。,こうえんでさんぽします。,Tôi đi dạo ở công viên.,I take a walk in the park.
郵便局,ゆうびんきょく,yuubinkyoku,N5,noun,bưu điện,post office,place,330,self,self-authored,郵便局はどこですか。,ゆうびんきょくはどこですか。,Bưu điện ở đâu?,Where is the post office?
スーパー,スーパー,suupaa,N5,noun,siêu thị,supermarket,place|shopping,325,self,self-authored,スーパーで買い物します。,スーパーでかいものします。,Tôi mua sắm ở siêu thị.,I shop at the supermarket.
デパート,デパート,depaato,N5,noun,trung tâm thương mại,department store,place|shopping,320,self,self-authored,デパートに行きます。,デパートにいきます。,Tôi đi trung tâm thương mại.,I go to the department store.
レストラン,レストラン,resutoran,N5,noun,nhà hàng,restaurant,place|food,315,self,self-authored,レストランで食べます。,レストランでたべます。,Tôi ăn ở nhà hàng.,I eat at a restaurant.
ホテル,ホテル,hoteru,N5,noun,khách sạn,hotel,place|travel,310,self,self-authored,ホテルはきれいです。,ホテルはきれいです。,Khách sạn sạch sẽ.,The hotel is clean.
駅,えき,eki,N5,noun,ga tàu; nhà ga,train station,transport|place,305,self,self-authored,駅はどこですか。,えきはどこですか。,Ga tàu ở đâu?,Where is the station?
銀行,ぎんこう,ginkou,N5,noun,ngân hàng,bank,place|finance,300,self,self-authored,銀行はあそこです。,ぎんこうはあそこです。,Ngân hàng ở đằng kia.,The bank is over there.
図書館,としょかん,toshokan,N5,noun,thư viện,library,place|school,295,self,self-authored,図書館で本を借ります。,としょかんでほんをかります。,Tôi mượn sách ở thư viện.,I borrow books at the library.
空港,くうこう,kuukou,N5,noun,sân bay,airport,transport|travel,290,self,self-authored,空港まで遠いです。,くうこうまでとおいです。,Đến sân bay còn xa.,It is far to the airport.
ある,ある,aru,N5,verb,có; tồn tại (vật/sự việc),to exist; to have (inanimate),daily,285,self,self-authored,机の上に本があります。,つくえのうえにほんがあります。,Trên bàn có sách.,There is a book on the desk.
いる,いる,iru,N5,verb,có; ở (người/động vật),to be; to exist (animate),daily,280,self,self-authored,部屋に猫がいます。,へやにねこがいます。,Trong phòng có con mèo.,There is a cat in the room.
する,する,suru,N5,verb,làm; thực hiện,to do,daily,275,self,self-authored,何をしますか。,なにをしますか。,Bạn làm gì?,What will you do?
話す,はなす,hanasu,N5,verb,nói chuyện; nói; kể,to speak; to talk,daily|communication,270,self,self-authored,日本語で話してください。,にほんごではなしてください。,Hãy nói bằng tiếng Nhật.,Please speak in Japanese.
読む,よむ,yomu,N5,verb,đọc,to read,daily|school,265,self,self-authored,本を読むのが好きです。,ほんをよむのがすきです。,Tôi thích đọc sách.,I like reading books.
書く,かく,kaku,N5,verb,viết,to write,daily|school,260,self,self-authored,手紙を書きます。,てがみをかきます。,Tôi viết thư.,I write a letter.
買う,かう,kau,N5,verb,mua,to buy,daily|shopping,255,self,self-authored,スーパーで野菜を買います。,スーパーでやさいをかいます。,Tôi mua rau ở siêu thị.,I buy vegetables at the supermarket.
使う,つかう,tsukau,N5,verb,dùng; sử dụng,to use,daily,250,self,self-authored,このペンを使ってもいいですか。,このペンをつかってもいいですか。,Tôi dùng cây bút này được không?,May I use this pen?
持つ,もつ,motsu,N5,verb,cầm; giữ; mang,to hold; to carry; to have,daily,245,self,self-authored,かばんを持ってください。,かばんをもってください。,Hãy mang cặp.,Please carry the bag.
開ける,あける,akeru,N5,verb,mở (cửa; hộp),to open,daily|home,240,self,self-authored,窓を開けてください。,まどをあけてください。,Hãy mở cửa sổ.,Please open the window.
閉める,しめる,shimeru,N5,verb,đóng (cửa; hộp),to close; to shut,daily|home,235,self,self-authored,ドアを閉めてください。,ドアをしめてください。,Hãy đóng cửa.,Please close the door.
入れる,いれる,ireru,N5,verb,cho vào; đặt vào,to put in; to insert,daily,230,self,self-authored,砂糖をコーヒーに入れます。,さとうをコーヒーにいれます。,Tôi cho đường vào cà phê.,I put sugar into the coffee.
出す,だす,dasu,N5,verb,lấy ra; đưa ra; nộp,to take out; to submit,daily,225,self,self-authored,宿題を出してください。,しゅくだいをだしてください。,Hãy nộp bài tập về nhà.,Please submit your homework.
待つ,まつ,matsu,N5,verb,chờ; đợi,to wait,daily,220,self,self-authored,ちょっと待ってください。,ちょっとまってください。,Xin chờ một chút.,Please wait a moment.
起きる,おきる,okiru,N5,verb,thức dậy; dậy,to wake up; to get up,daily|morning,215,self,self-authored,毎朝7時に起きます。,まいあさしちじにおきます。,Mỗi sáng tôi dậy lúc 7 giờ.,I wake up at 7 every morning.
寝る,ねる,neru,N5,verb,ngủ; đi ngủ,to sleep; to go to bed,daily|home,210,self,self-authored,早く寝てください。,はやくねてください。,Hãy đi ngủ sớm.,Please go to bed early.
帰る,かえる,kaeru,N5,verb,về; trở về nhà,to return home; to go back,daily,205,self,self-authored,今日は早く帰ります。,きょうははやくかえります。,Hôm nay tôi về sớm.,I will return home early today.
入る,はいる,hairu,N5,verb,vào; đi vào; tham gia,to enter; to join,daily,200,self,self-authored,部屋に入ってください。,へやにはいってください。,Hãy vào phòng.,Please enter the room.
出る,でる,deru,N5,verb,ra; đi ra; rời,to exit; to leave; to go out,daily,195,self,self-authored,8時に家を出ます。,はちじにいえをでます。,Tôi ra khỏi nhà lúc 8 giờ.,I leave the house at 8.
乗る,のる,noru,N5,verb,lên (xe; tàu); đi bằng,to ride; to get on,transport,190,self,self-authored,電車に乗ります。,でんしゃにのります。,Tôi đi tàu điện.,I ride the train.
降りる,おりる,oriru,N5,verb,xuống (xe; tàu),to get off; to descend,transport,185,self,self-authored,次の駅で降ります。,つぎのえきでおります。,Tôi xuống ở ga tiếp theo.,I get off at the next station.
歩く,あるく,aruku,N5,verb,đi bộ,to walk,transport|daily,180,self,self-authored,駅まで歩きます。,えきまであるきます。,Tôi đi bộ đến ga.,I walk to the station.
走る,はしる,hashiru,N5,verb,chạy; chạy bộ,to run,daily|sport,175,self,self-authored,毎朝公園を走ります。,まいあさこうえんをはしります。,Mỗi sáng tôi chạy bộ ở công viên.,I run in the park every morning.
教える,おしえる,oshieru,N5,verb,dạy; chỉ; cho biết,to teach; to tell; to inform,school|daily,170,self,self-authored,日本語を教えています。,にほんごをおしえています。,Tôi đang dạy tiếng Nhật.,I am teaching Japanese.
習う,ならう,narau,N5,verb,học (từ thầy); học hỏi,to learn (from a teacher),school,165,self,self-authored,ピアノを習っています。,ピアノをならっています。,Tôi đang học piano.,I am learning piano.
会う,あう,au,N5,verb,gặp; gặp gỡ,to meet,daily|social,160,self,self-authored,友達に会います。,ともだちにあいます。,Tôi gặp bạn bè.,I meet my friend.
知る,しる,shiru,N5,verb,biết; biết được,to know; to find out,daily,155,self,self-authored,その人を知っていますか。,そのひとをしっていますか。,Bạn có biết người đó không?,Do you know that person?
