"word","reading","romaji","jlpt_level","pos","meaning_vi","meaning_en","tags","frequency","source","source_id","license","attribution","example_jp","example_reading","example_vi","example_en","review_status","meaning_source"
"大きい","おおきい","ookii","N5","adjective","to | lớn | vĩ đại | to tiếng | quan trọng","big | large | great | loud | important","","945","jmdict","2000020","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","この犬は大きいです。","このいぬはおおきいです。","Con chó này to.","This dog is big.","ai_draft","jmdict_ai"
"小さい","ちいさい","chiisai","N5","adjective","nhỏ | bé | tí hon | nhỏ nhắn","small | little | tiny | petite","","940","jmdict","2000021","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","猫は小さいです。","ねこはちいさいです。","Con mèo nhỏ.","The cat is small.","ai_draft","jmdict_ai"
"新しい","あたらしい","atarashii","N5","adjective","mới | mới lạ | tươi mới | gần đây | mới nhất","new | novel | fresh | recent | latest","","865","jmdict","2000022","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","新しい車を買いました。","あたらしいくるまをかいました。","Tôi mua xe mới.","I bought a new car.","ai_draft","jmdict_ai"
"古い","ふるい","furui","N5","adjective","cũ | cổ xưa | lỗi thời | đã qua dùng | nhàm cũ","old | ancient | antiquated | used | stale","","860","jmdict","2000023","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","古い本があります。","ふるいほんがあります。","Có quyển sách cũ.","There is an old book.","ai_draft","jmdict_ai"
"高い","たかい","takai","N5","adjective","cao | ở trên cao | đắt | đắt tiền | trên mức trung bình","tall | high | expensive | pricey | above average","","935","jmdict","2000024","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","この山は高いです。","このやまはたかいです。","Ngọn núi này cao.","This mountain is tall.","ai_draft","jmdict_ai"
"安い","やすい","yasui","N5","adjective","rẻ | giá thấp | không đắt | bình yên","cheap | low price | inexpensive | peaceful","","845","jmdict","2000025","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","このスーパーは安いです。","このスーパーはやすいです。","Siêu thị này rẻ.","This supermarket is cheap.","ai_draft","jmdict_ai"
"早い","はやい","hayai","N5","adjective","nhanh | mau | vội vã | sớm | chẳng bao lâu","fast | quick | hasty | early | soon","","835","jmdict","2000026","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","電車が早いです。","でんしゃがはやいです。","Tàu điện nhanh.","The train is fast.","ai_draft","jmdict_ai"
"遅い","おそい","osoi","N5","adjective","chậm | muộn | trễ | quá hạn","slow | late | tardy | overdue","","830","jmdict","2000027","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","今日は遅いです。","きょうはおそいです。","Hôm nay muộn rồi.","It's late today.","ai_draft","jmdict_ai"
"長い","ながい","nagai","N5","adjective","dài | kéo dài | lâu dài","long | lengthy | prolonged","","825","jmdict","2000028","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","この道は長いです。","このみちはながいです。","Con đường này dài.","This road is long.","ai_draft","jmdict_ai"
"短い","みじかい","mijikai","N5","adjective","ngắn | ngắn gọn | mau chóng","short | brief | quick","","820","jmdict","2000029","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","この話は短いです。","このはなしはみじかいです。","Câu chuyện này ngắn.","This story is short.","ai_draft","jmdict_ai"
"白い","しろい","shiroi","N5","adjective","trắng | thuần khiết | trong sáng","white | pure | innocent","","815","jmdict","2000030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","雪は白いです。","ゆきはしろいです。","Tuyết màu trắng.","Snow is white.","ai_draft","jmdict_ai"
