word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"卒業論文","そつぎょうろんぶん","","N4","n","luận văn tốt nghiệp","graduation thesis","","0","jmdict","1699960","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","卒業論文を書きます。","そつぎょうろんぶんをかきます。","Tôi viết luận văn tốt nghiệp.","I write my graduation thesis.","ai_draft","jmdict_ai"
"コンテンツ","コンテンツ","","N4","n","nội dung","contents | content","","0","jmdict","1052650","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","コンテンツを作ります。","コンテンツをつくります。","Tôi tạo nội dung.","I create content.","ai_draft","jmdict_ai"
"印刷","いんさつ","","N4","n|vs|vt","in ấn | in","printing","","0","jmdict","1168190","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","書類を印刷します。","しょるいをいんさつします。","Tôi in tài liệu.","I print documents.","ai_draft","jmdict_ai"
"回復","かいふく","","N4","n|vs|vt|vi","phục hồi | hồi phục | khôi phục | bình phục (bệnh)","restoration | recovery | rehabilitation | return | improvement | recovery (from an illness) | recuperation | convalescence","","0","jmdict","1199720","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","健康が回復します。","けんこうがかいふくします。","Sức khỏe phục hồi.","My health recovers.","ai_draft","jmdict_ai"
"記事","きじ","","N4","n","bài báo | tin tức | bài viết | báo cáo","article | news story | report | account","","0","jmdict","1223240","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","記事を書きます。","きじをかきます。","Tôi viết bài báo.","I write an article.","ai_draft","jmdict_ai"
"記者","きしゃ","","N4","n","phóng viên | nhà báo","reporter | journalist","","0","jmdict","1223250","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","記者が取材します。","きしゃがとざいします。","Phóng viên phỏng vấn.","The reporter conducts an interview.","ai_draft","jmdict_ai"
"健康診断","けんこうしんだん","","N4","n","kiểm tra sức khỏe định kỳ | khám sức khỏe tổng quát","health checkup | (general) medical examination | physical examination","","0","jmdict","1256210","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","健康診断を受けます。","けんこうしんだんをうけます。","Tôi khám sức khỏe định kỳ.","I get a health checkup.","ai_draft","jmdict_ai"
"宣伝","せんでん","","N4","n|vs|vt","quảng cáo | tuyên truyền | quảng bá","publicity | advertisement | advertising | propaganda","","0","jmdict","1389730","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","商品を宣伝します。","しょうひんをせんでんします。","Tôi quảng cáo sản phẩm.","I advertise the product.","ai_draft","jmdict_ai"
"地方","ちほう","","N4","n","địa phương | khu vực | vùng | miền quê | nông thôn","district | region | area | locality | the country | countryside | the provinces | rural area | civilian society","","0","jmdict","1421450","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","地方に旅行します。","ちほうにりょこうします。","Tôi du lịch miền quê.","I travel to the countryside.","ai_draft","jmdict_ai"
"敷金","しききん","","N4","n","tiền đặt cọc | tiền bảo đảm thuê nhà","(security) deposit | caution money","","0","jmdict","1497040","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","敷金を払います。","しききんをはらいます。","Tôi trả tiền đặt cọc.","I pay the security deposit.","ai_draft","jmdict_ai"
"報道","ほうどう","","N4","n|vs|vt","đưa tin | báo cáo tin tức | tin tức | thông tin | đưa tin truyền thông","report (of news) | reporting | news | information | (media) coverage","","0","jmdict","1515730","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","事件を報道します。","じけんをほうどうします。","Tôi đưa tin về sự vụ.","I report on the incident.","ai_draft","jmdict_ai"
"放送","ほうそう","","N4","n|vs|vt","phát sóng | truyền hình | chương trình | thông báo","broadcasting | broadcast | program | announcement","","0","jmdict","1516750","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","テレビで放送します。","テレビでほうそうします。","Tôi phát sóng trên TV.","I broadcast on TV.","ai_draft","jmdict_ai"
"礼金","れいきん","","N4","n","tiền cảm ơn | tiền thưởng | phí | tiền thuê đầu tiên (Nhật Bản)","money (given as thanks) | reward money | fee | recompense | remuneration | honorarium | key money | fee paid for rental rights","","0","jmdict","1557500","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","礼金を払います。","れいきんをはらいます。","Tôi trả tiền cảm ơn.","I pay the key money.","ai_draft","jmdict_ai"
"感染症","かんせんしょう","","N4","n","bệnh truyền nhiễm | nhiễm trùng","infectious disease | infection","","0","jmdict","1614180","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","感染症を予防します。","かんせんしょうをよぼうします。","Tôi phòng ngừa bệnh truyền nhiễm.","I prevent infectious disease.","ai_draft","jmdict_ai"
"一方","ひとかた","","N4","n|adj-na","một người | bình thường | phổ thông","one person | ordinary | common","","0","jmdict","2258660","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","一方ならぬ努力をします。","ひとかたならぬどりょくをします。","Tôi nỗ lực phi thường.","I make extraordinary effort.","ai_draft","jmdict_ai"
"管理費","かんりひ","","N4","n","phí quản lý | chi phí quản lý | chi phí hành chính","administration costs | administrative expenses | management costs","","0","jmdict","2612860","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","管理費を払います。","かんりひをはらいます。","Tôi trả phí quản lý.","I pay the management costs.","ai_draft","jmdict_ai"
"傾く","かぶく","","N4","v4k","nghiêng (bông lúa chín) | ngả | hành động kỳ lạ | ăn mặc lố bịch | biểu diễn kabuki","to lean (esp. of a ripe ear of rice) | to incline | to slant | to tilt | to behave oddly | to attire oneself strangely | to perform kabuki","","0","jmdict","2793680","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","穂が傾きます。","ほがかぶきます。","Bông lúa cúi xuống.","The ear of rice leans down.","ai_draft","jmdict_ai"
"鈍い","のろい","","N4","adj-i","chậm chạp | đần độn | lề mề | lờ đờ | nuông chiều (người khác giới)","thickheaded | obtuse | stupid | slow | sluggish | inert | lethargic | indulgent (esp. to the opposite sex) | doting","","0","jmdict","2838553","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","反応がのろいです。","はんのうがのろいです。","Phản ứng chậm chạp.","The reaction is sluggish.","ai_draft","jmdict_ai"
