# JLPT N3 Vocabulary — Pipeline source file
# Format: word,reading,level
# Lines starting with # are ignored
# ===== Wave 1: Problem Solving / Research =====
常任,じょうにん,N3
常務,じょうむ,N3
常用,じょうよう,N3
# ===== Wave 5: Boarding / Vehicle =====,,
乗馬,じょうば,N3
乗船,じょうせん,N3
乗車,じょうしゃ,N3
乗車券,じょうしゃけん,N3
乗組員,のりくみいん,N3
乗務員,じょうむいん,N3
乗用車,じょうようしゃ,N3
# ===== Wave 5: Immediate / Conform =====,,
側面,そくめん,N3
即ち,すなわち,N3
即興,そっきょう,N3
即刻,そっこく,N3
即座,そくざ,N3
即死,そくし,N3
即席,そくせき,N3
即断,そくだん,N3
即答,そくとう,N3
即日,そくじつ,N3
則る,のっとる,N3

# ===== Wave 6: Breath / Vitality =====,,
息継ぎ,いきつぎ,N3
息切れ,いきぎれ,N3
息抜き,いきぬき,N3
息吹,いぶき,N3
# ===== Wave 6: Moment / Restraint =====,,
つかの間,つかのま,N3
束縛,そくばく,N3
# ===== Wave 6: Footstep / Foundation =====,,
足音,あしおと,N3
足腰,あしこし,N3
足止め,あしどめ,N3
足取り,あしどり,N3
足場,あしば,N3
足早,あしばや,N3
足踏み,あしぶみ,N3
足並み,あしなみ,N3
# ===== Wave 6: Speed / Measurement =====,,
速やか,すみやか,N3
速報,そくほう,N3
速達,そくたつ,N3
速記,そっき,N3
測定,そくてい,N3
測量,そくりょう,N3
# ===== Wave 6: Common / Praise =====,,
俗に,ぞくに,N3
俗称,ぞくしょう,N3
賛歌,さんか,N3
賛助,さんじょ,N3
即物的,そくぶつてき,N3

# ===== Wave 7: Once-in-a-lifetime / Consistent =====,,
一応,いちおう,N3
一括,いっかつ,N3
一貫,いっかん,N3
一気に,いっきに,N3
一挙両得,いっきょりょうとく,N3
一期一会,いちごいちえ,N3
# ===== Wave 7: Medical / Childcare =====,,
医療,いりょう,N3
育児,いくじ,N3
育て方,そだてかた,N3
# ===== Wave 7: Addition / Join =====,,
加害,かがい,N3
加減,かげん,N3
加工,かこう,N3
加速,かそく,N3
加入,かにゅう,N3
加盟,かめい,N3
加齢,かれい,N3
加筆,かひつ,N3
# ===== Wave 7: Permissible / Lovely =====,,
可愛がる,かわいがる,N3
可愛らしい,かわいらしい,N3
可決,かけつ,N3
可否,かひ,N3
可憐,かれん,N3
# ===== Wave 7: Household =====,,
家屋,かおく,N3
家業,かぎょう,N3
家計,かけい,N3
家系,かけい,N3
家財,かざい,N3

# ===== Wave 8: Household Duties =====,,
家事,かじ,N3
家出,いえで,N3
家主,やぬし,N3
家政婦,かせいふ,N3
家臣,かしん,N3
# ===== Wave 8: Quantity / Extent =====,,
幾分,いくぶん,N3
幾多,いくた,N3
# ===== Wave 8: Already / Existing =====,,
既に,すでに,N3
既婚,きこん,N3
既製,きせい,N3
既存,きそん,N3
既定,きてい,N3
既視感,きしかん,N3
# ===== Wave 8: Deadline / Term =====,,
期日,きじつ,N3
期末,きまつ,N3
# ===== Wave 8: Abstention =====,,
棄権,きけん,N3
# ===== Wave 8: Machine / System / Mood =====,,
機嫌,きげん,N3
機構,きこう,N3
機関,きかん,N3
机上,きじょう,N3
旗揚げ,はたあげ,N3

# ===== Wave 9: Novel / Provisional / Cruel =====,,
残暑,ざんしょ,N3
残像,ざんぞう,N3
# ===== Wave 9: Shi compound verbs / actions =====,,
仕業,しわざ,N3
仕掛ける,しかける,N3
仕送り,しおくり,N3
仕切る,しきる,N3
# ===== Wave 9: Mission / Rank / Shore =====,,
# ===== Wave 9: Boarding / Flag =====,,
旗,はた,N3
# ===== Wave 9b: Fierce / Battle =====,,
激動,げきどう,N3
激流,げきりゅう,N3
激戦,げきせん,N3
# ===== Wave 9b: Absence / Absence =====,,
欠勤,けっきん,N3
欠航,けっこう,N3
# ===== Wave 9b: Resolution / Breakdown =====,,
決議,けつぎ,N3
決裂,けつれつ,N3
決行,けっこう,N3
決済,けっさい,N3
# ===== Wave 9b: Blood / Lineage =====,,
血縁,けつえん,N3
血統,けっとう,N3
# ===== Wave 9b: Modesty / Disillusionment =====,,
謙遜,けんそん,N3
幻滅,げんめつ,N3
# ===== Wave 9b: Authority / Power =====,,
権威,けんい,N3
権限,けんげん,N3
権力,けんりょく,N3
# ===== Wave 9b: Present Condition =====,,
現役,げんえき,N3
現状,げんじょう,N3
# ===== Wave 9b: Formation / Observation =====,,
結成,けっせい,N3
見捨てる,みすてる,N3
見習う,みならう,N3
見積もる,みつもる,N3

# ===== Wave 10: Intensification / Arts =====,,
激化,げきか,N3
芸名,げいめい,N3
芸能界,げいのうかい,N3
# ===== Wave 10: Observation verbs =====,,
見識,けんしき,N3
見地,けんち,N3
見張る,みはる,N3
見直し,みなおし,N3
見抜く,みぬく,N3
見分ける,みわける,N3
# ===== Wave 10: Devotion / Reduction =====,,
献身,けんしん,N3
減少,げんしょう,N3
減速,げんそく,N3
# ===== Wave 10: Language / Proverb / Limit =====,,
言語,げんご,N3
言動,げんどう,N3
言論,げんろん,N3
諺,ことわざ,N3
限定,げんてい,N3
限度,げんど,N3

# ===== Wave 11: Noise / Uproar =====,,
騒ぎ,さわぎ,N3
騒音,そうおん,N3
# ===== Wave 11: Increase =====,,
増加,ぞうか,N3
増税,ぞうぜい,N3
増大,ぞうだい,N3
増強,ぞうきょう,N3
# ===== Wave 11: Hatred / Organs / Gift =====,,
憎しみ,にくしみ,N3
憎悪,ぞうお,N3
臓器,ぞうき,N3
贈呈,ぞうてい,N3
# ===== Wave 11: Promotion / Confidant =====,,
促進,そくしん,N3
側近,そっきん,N3
# ===== Wave 11: Diverse / Busy / Drum =====,,
多様,たよう,N3
多様性,たようせい,N3
多忙,たぼう,N3
太鼓,たいこ,N3
# ===== Wave 11: Depravity / Ships / Language =====,,
堕落,だらく,N3
造船,ぞうせん,N3
俗語,ぞくご,N3

# ===== Wave 12: Compromise / Valid =====,,
妥協,だきょう,N3
妥当,だとう,N3
惰性,だせい,N3
# ===== Wave 12: Strike / Break =====,,
打開,だかい,N3
打撃,だげき,N3
打倒,だとう,N3
体験,たいけん,N3
体格,たいかく,N3
体系,たいけい,N3
体制,たいせい,N3
体調,たいちょう,N3
体面,たいめん,N3
対決,たいけつ,N3
対抗,たいこう,N3
対処,たいしょ,N3
対照,たいしょう,N3
対象,たいしょう,N3
対等,たいとう,N3
対談,たいだん,N3
対外,たいがい,N3

# ===== Wave 13: Confrontation / Contrast (missed w12) =====,,
対比,たいひ,N3
対面,たいめん,N3
# ===== Wave 13: Atmosphere / Large-scale =====,,
大気,たいき,N3
大気汚染,たいきおせん,N3
大規模,だいきぼ,N3
大型,おおがた,N3
大手,おおて,N3
# ===== Wave 13: Public / Crowd / Earth =====,,
大衆,たいしゅう,N3
大勢,おおぜい,N3
大多数,だいたすう,N3
大地,だいち,N3
大地震,おおじしん,N3
# ===== Wave 13: City / Ambassador / Carpenter =====,,
大都市,だいとし,N3
大使,たいし,N3
大使館,たいしかん,N3
大工,だいく,N3
# ===== Wave 13: Cleanup / New Year's Eve / Noise =====,,
大掃除,おおそうじ,N3
大晦日,おおみそか,N3
大騒ぎ,おおさわぎ,N3
大声,おおごえ,N3

# ===== Wave 14: President / Bean / Quantity =====,,
大統領,だいとうりょう,N3
大豆,だいず,N3
大部分,だいぶぶん,N3
大量,たいりょう,N3
大量生産,たいりょうせいさん,N3
# ===== Wave 14: Scale / Style / Material =====,,
大幅,おおはば,N3
大柄,おおがら,N3
大文字,おおもじ,N3
大理石,だいりせき,N3
大麦,おおむぎ,N3
# ===== Wave 14: History / Culture =====,,
大仏,だいぶつ,N3
大砲,たいほう,N3
大名,だいみょう,N3
醍醐味,だいごみ,N3
# ===== Wave 14: Title / Third party / Adverb =====,,
題材,だいざい,N3
題名,だいめい,N3
第三者,だいさんしゃ,N3
大分,だいぶ,N3
第一印象,だいいちいんしょう,N3

# ===== Wave 15: Table / Excellence =====,,
題目,だいもく,N3
卓越,たくえつ,N3
卓球,たっきゅう,N3
# ===== Wave 15: Home delivery / Residential =====,,
宅地,たくち,N3
宅配,たくはい,N3
宅配便,たくはいびん,N3
託児所,たくじしょ,N3
# ===== Wave 15: Food / Nature =====,,
沢庵,たくあん,N3
濁流,だくりゅう,N3
凧揚げ,たこあげ,N3
# ===== Wave 15: Choice =====,,
択一,たくいつ,N3
# ===== Wave 15: Reach / Master =====,,
但し,ただし,N3
達する,たっする,N3
達人,たつじん,N3
# ===== Wave 15: Seize / Escape =====,,
奪回,だっかい,N3
奪還,だっかん,N3
奪取,だっしゅ,N3
脱却,だっきゃく,N3
脱臼,だっきゅう,N3

# ===== Wave 16: Escape / Withdrawal =====,,
脱出,だっしゅつ,N3
脱税,だつぜい,N3
脱線,だっせん,N3
脱退,だったい,N3
脱帽,だつぼう,N3
脱毛,だつもう,N3
# ===== Wave 16: Reach / Postpone =====,,
たどり着く,たどりつく,N3
棚上げ,たなあげ,N3
# ===== Wave 16: Firm / Decisive / Give up =====,,
断固,だんこ,N3
断行,だんこう,N3
断食,だんじき,N3
断水,だんすい,N3
断層,だんそう,N3
断定,だんてい,N3
断念,だんねん,N3
断片,だんぺん,N3
断面,だんめん,N3
# ===== Wave 16: Heating / Warmth =====,,
暖房,だんぼう,N3
暖炉,だんろ,N3

# ===== Wave 17: Cardboard / Male =====,,
段ボール,ダンボール,N3
男子,だんし,N3
男爵,だんしゃく,N3
男女,だんじょ,N3
男女同権,だんじょどうけん,N3
男装,だんそう,N3
男優,だんゆう,N3
# ===== Wave 17: Chat / Bargain =====,,
談笑,だんしょう,N3
値切る,ねぎる,N3
# ===== Wave 17: Knowledge / Intelligence =====,,
知覚,ちかく,N3
知恵,ちえ,N3
知見,ちけん,N3
知性,ちせい,N3
知的,ちてき,N3
知能,ちのう,N3
知名度,ちめいど,N3
# ===== Wave 17: Position / Underground =====,,
地位,ちい,N3
地下街,ちかがい,N3
地価,ちか,N3

# ===== Wave 18: Earth / Geography =====,,
地殻,ちかく,N3
地すべり,じすべり,N3
地球,ちきゅう,N3
地球規模,ちきゅうきぼ,N3
地区,ちく,N3
地元,じもと,N3
地質,ちしつ,N3
地主,じぬし,N3
地上,ちじょう,N3
地震,じしん,N3
地図,ちず,N3
# ===== Wave 18: Zone / Spot / Steady =====,,
地帯,ちたい,N3
地点,ちてん,N3
地道,じみち,N3
地名,ちめい,N3
地面,じめん,N3
地理,ちり,N3
# ===== Wave 18: Shame / Middle Ages =====,,
恥,はじ,N3
恥辱,ちじょく,N3

# ===== Wave 19: Theft / Dementia =====,,
置き引き,おきびき,N3
痴漢,ちかん,N3
痴呆,ちほう,N3
# ===== Wave 19: Middle Ages / Dropout / Interrupt =====,,
中心的,ちゅうしんてき,N3
中世,ちゅうせい,N3
中絶,ちゅうぜつ,N3
中退,ちゅうたい,N3
中断,ちゅうだん,N3
中だるみ,なかだるみ,N3
中庭,なかにわ,N3
# ===== Wave 19: Halfway / Middle East / Poison =====,,
中途,ちゅうと,N3
中東,ちゅうとう,N3
中等,ちゅうとう,N3
中毒,ちゅうどく,N3
中南米,ちゅうなんべい,N3
中入り,なかいり,N3
中年,ちゅうねん,N3

# ===== Wave 20: Middle / Height =====,,
中盤,ちゅうばん,N3
中部,ちゅうぶ,N3
中背,ちゅうぜい,N3
# ===== Wave 20: Middle Way / Neutrality =====,,
中米,ちゅうべい,N3
中庸,ちゅうよう,N3
中立,ちゅうりつ,N3
中略,ちゅうりゃく,N3
中流,ちゅうりゅう,N3
中和,ちゅうわ,N3
# ===== Wave 20: Mediation / Relationships =====,,
仲違い,なかたがい,N3
仲介,ちゅうかい,N3
仲間はずれ,なかまはずれ,N3
仲間入り,なかまいり,N3
仲人,なこうど,N3
仲立ち,なかだち,N3
# ===== Wave 20: Loyalty / Acrobatics =====,,
忠告,ちゅうこく,N3
宙返り,ちゅうがえり,N3

# ===== Wave 21: Travel vocabulary =====,,
旅先,たびさき,N3
旅程,りょてい,N3
旅費,りょひ,N3
旅立ち,たびだち,N3
# ===== Wave 21: Common expressions =====,,
了解,りょうかい,N3
両替,りょうがえ,N3
両立,りょうりつ,N3
# ===== Wave 21: Medical / recuperation =====,,
療法,りょうほう,N3
療養,りょうよう,N3
# ===== Wave 21: Quality / conscience =====,,
良識,りょうしき,N3
良質,りょうしつ,N3
良心,りょうしん,N3
# ===== Wave 21: Production / territory =====,,
量産,りょうさん,N3
領収書,りょうしゅうしょ,N3
領土,りょうど,N3
# ===== Wave 21: Ethics / provisional =====,,
倫理,りんり,N3
臨時,りんじ,N3

# ===== Wave 22: Accumulation / analogy =====,,
累積,るいせき,N3
類似,るいじ,N3
類推,るいすい,N3
# ===== Wave 22: Exception / normal year =====,,
例外,れいがい,N3
例年,れいねん,N3
# ===== Wave 22: Cold / temperature =====,,
冷える,ひえる,N3
冷笑,れいしょう,N3
冷却,れいきゃく,N3
冷酷,れいこく,N3
冷静,れいせい,N3
冷戦,れいせん,N3
冷淡,れいたん,N3
冷凍,れいとう,N3
冷房,れいぼう,N3
# ===== Wave 22: Encouragement / etiquette =====,,
励ます,はげます,N3
励む,はげむ,N3
礼儀,れいぎ,N3

# ===== Wave 23: History / successive =====,,
歴史的,れきしてき,N3
歴代,れきだい,N3
歴任,れきにん,N3
# ===== Wave 23: Listing / archipelago =====,,
列挙,れっきょ,N3
列島,れっとう,N3
# ===== Wave 23: Inferior / deteriorate =====,,
劣る,おとる,N3
劣悪,れつあく,N3
劣化,れっか,N3
劣勢,れっせい,N3
劣等感,れっとうかん,N3
# ===== Wave 23: Split / love =====,,
裂ける,さける,N3
恋しい,こいしい,N3
恋愛,れんあい,N3
# ===== Wave 23: Connection / union =====,,
連休,れんきゅう,N3
連携,れんけい,N3
連結,れんけつ,N3
連合,れんごう,N3

# ===== Wave 24: Solidarity / federation =====,,
連帯,れんたい,N3
連日,れんじつ,N3
連邦,れんぽう,N3
連盟,れんめい,N3
連絡先,れんらくさき,N3
連立,れんりつ,N3
# ===== Wave 24: Route / exposure / bath =====,,
路線,ろせん,N3
露出,ろしゅつ,N3
露天風呂,ろてんぶろ,N3
# ===== Wave 24: Labour / corridor =====,,
労う,ねぎらう,N3
廊下,ろうか,N3
# ===== Wave 24: Reading aloud / cheerful =====,,
朗らか,ほがらか,N3
朗読,ろうどく,N3
# ===== Wave 24: Ronin / waste / old age =====,,
浪人,ろうにん,N3
浪費,ろうひ,N3
老後,ろうご,N3
老衰,ろうすい,N3

# ===== Wave 25: Recording =====,,
録音,ろくおん,N3
録画,ろくが,N3
# ===== Wave 25: Logic / debate =====,,
論外,ろんがい,N3
論争,ろんそう,N3
論点,ろんてん,N3
論理,ろんり,N3
論理的,ろんりてき,N3
# ===== Wave 25: Reconciliation / Japanese things =====,,
和解,わかい,N3
和室,わしつ,N3
和食,わしょく,N3
和平,わへい,N3
# ===== Wave 25: Topic / bribe / skill =====,,
話し合う,はなしあう,N3
話題,わだい,N3
賄賂,わいろ,N3
腕前,うでまえ,N3
腕時計,うでどけい,N3
# ===== Wave 25: Bay / coast =====,,
湾岸,わんがん,N3

# ===== Wave 26: Advice / depletion =====,,
助言,じょげん,N3
消耗,しょうもう,N3
上院,じょういん,N3
情緒,じょうちょ,N3
# ===== Wave 26: Future / recovery =====,,
先行き,さきゆき,N3
全治,ぜんち,N3
早急,そうきゅう,N3
相反する,あいはんする,N3
# ===== Wave 26: Substitute / finger =====,,
代替,だいたい,N3
中指,なかゆび,N3
# ===== Wave 26: Mourning / disciple =====,,
弔う,とむらう,N3
直球,ちょっきゅう,N3
弟子,でし,N3
# ===== Wave 26: Midway / message / inside =====,,
途中,とちゅう,N3
伝言,でんごん,N3
同胞,どうほう,N3
内幕,うちまく,N3

# ===== Wave 27: Time / seasons =====,,
年々,ねんねん,N3
年月,としつき,N3
梅雨,つゆ,N3
半年,はんとし,N3
# ===== Wave 27: Actions / expressions =====,,
燃やす,もやす,N3
避ける,さける,N3
描く,えがく,N3
侮る,あなどる,N3
如何,いかん,N3
# ===== Wave 27: Formal / institutions =====,,
発足,ほっそく,N3
文書,ぶんしょ,N3
分泌,ぶんぴつ,N3
不定,ふてい,N3
# ===== Wave 27: People / body / culture =====,,
夫婦,ふうふ,N3
武士,ぶし,N3
白髪,しらが,N3
肌寒い,はださむい,N3
拍子,ひょうし,N3

# ===== Wave 28: Places / body =====,,
保健所,ほけんじょ,N3
墓地,ぼち,N3
牧場,ぼくじょう,N3
頬,ほお,N3
# ===== Wave 28: Nouns / formal =====,,
宝物,たからもの,N3
万全,ばんぜん,N3
万能,ばんのう,N3
未曾有,みぞう,N3
末路,まつろ,N3
# ===== Wave 28: Verbs =====,,
免れる,まぬがれる,N3
# ===== Wave 28: Psychology / culture =====,,
妄想,もうそう,N3
融通,ゆうずう,N3
予言,よげん,N3
浴衣,ゆかた,N3
# ===== Wave 28: Events / seasons =====,,
来客,らいきゃく,N3
流行,りゅうこう,N3
翌朝,よくあさ,N3
落ち葉,おちば,N3

# ===== Wave 29: Culture / nature =====,,
和太鼓,わだいこ,N3
歪む,ゆがむ,N3
秋晴れ,あきばれ,N3
雨上がり,あめあがり,N3
# ===== Wave 29: Keys / passwords =====,,
合鍵,あいかぎ,N3
合言葉,あいことば,N3
相性,あいしょう,N3
挙句,あげく,N3
# ===== Wave 29: Warmth / home =====,,
温まる,あたたまる,N3
温める,あたためる,N3
足元,あしもと,N3
編み物,あみもの,N3
# ===== Wave 29: Formal / names =====,,
あだ名,あだな,N3
宛先,あてさき,N3
宛名,あてな,N3
当てはめる,あてはめる,N3
# ===== Wave 29: Character / manner =====,,
荒々しい,あらあらしい,N3
あり方,ありかた,N3

# ===== Wave 30: Memory / dark =====,,
暗記,あんき,N3
暗黒,あんこく,N3
# ===== Wave 30: Excuses / life / growth =====,,
言い訳,いいわけ,N3
生き方,いきかた,N3
育成,いくせい,N3
# ===== Wave 30: Arts / intention / body =====,,
生け花,いけばな,N3
意向,いこう,N3
萎縮,いしゅく,N3
痛々しい,いたいたしい,N3
# ===== Wave 30: Drive / power / survival =====,,
意欲,いよく,N3
威力,いりょく,N3
命からがら,いのちからがら,N3
# ===== Wave 30: Shadow / custom / culture =====,,
陰影,いんえい,N3
因習,いんしゅう,N3
入れ墨,いれずみ,N3
# ===== Wave 30: Reception / meetings =====,,
受付,うけつけ,N3
打ち明ける,うちあける,N3
打ち合わせ,うちあわせ,N3

# ===== Wave 31: Commerce / evidence =====,,
埋め合わせる,うめあわせる,N3
裏付け,うらづけ,N3
売り上げ,うりあげ,N3
運送,うんそう,N3
# ===== Wave 31: Talent / wisdom / support =====,,
英才,えいさい,N3
英知,えいち,N3
援護,えんご,N3
追い風,おいかぜ,N3
# ===== Wave 31: Conduct / expression =====,,
大げさ,おおげさ,N3
憶測,おくそく,N3
行い,おこない,N3
# ===== Wave 31: Memory / culture =====,,
思いつく,おもいつく,N3
思い出,おもいで,N3
折り紙,おりがみ,N3
恩義,おんぎ,N3
# ===== Wave 31: Fire / fragrance / connection =====,,
火炎,かえん,N3
香り,かおり,N3
関わり,かかわり,N3

# ===== Wave 32: Seasons / harshness =====,,
夏季,かき,N3
過酷,かこく,N3
箇所,かしょ,N3
仮説,かせつ,N3
# ===== Wave 32: Love / position =====,,
片思い,かたおもい,N3
肩書き,かたがき,N3
偏る,かたよる,N3
# ===== Wave 32: Revolution / operation =====,,
画期的,かっきてき,N3
稼働,かどう,N3
科目,かもく,N3
可哀想,かわいそう,N3
# ===== Wave 32: Audit / essence / perfect =====,,
監査,かんさ,N3
肝心,かんじん,N3
完璧,かんぺき,N3
# ===== Wave 32: Origin / signs / miracles =====,,
起源,きげん,N3
兆し,きざし,N3
傷つく,きずつく,N3
奇跡,きせき,N3

# ===== Wave 33: Donation / weapons / cooperation =====,,
寄付,きふ,N3
凶悪,きょうあく,N3
凶器,きょうき,N3
強固,きょうこ,N3
協力,きょうりょく,N3
# ===== Wave 33: Switches / trump cards =====,,
切り替え,きりかえ,N3
切り札,きりふだ,N3
極める,きわめる,N3
# ===== Wave 33: Pseudo / disguise =====,,
疑似,ぎじ,N3
偽装,ぎそう,N3
# ===== Wave 33: Blocks / assembly / crowds =====,,
区画,くかく,N3
屈服,くっぷく,N3
群衆,ぐんしゅう,N3
組み合わせ,くみあわせ,N3
組み立て,くみたて,N3
# ===== Wave 33: Settlement / reliability / science =====,,
決着,けっちゃく,N3
堅実,けんじつ,N3
元素,げんそ,N3

# ===== Wave 34: Luck / traffic / rotation =====,,
幸運,こううん,N3
交差点,こうさてん,N3
交代,こうたい,N3
広報,こうほう,N3
枯渇,こかつ,N3
# ===== Wave 34: Nature / personality =====,,
木漏れ日,こもれび,N3
強情,ごうじょう,N3
逆さま,さかさま,N3
先駆け,さきがけ,N3
砂漠,さばく,N3
# ===== Wave 34: Communication / mail =====,,
差出人,さしだしにん,N3
差し支え,さしつかえ,N3
# ===== Wave 34: Finish / happiness / method =====,,
仕上げ,しあげ,N3
幸せ,しあわせ,N3
仕方,しかた,N3
仕来り,しきたり,N3
# ===== Wave 34: Stimulation / failure =====,,
刺激的,しげきてき,N3
失神,しっしん,N3

# ===== Wave 35: Behavior / payment =====,,
失態,しったい,N3
支払い,しはらい,N3
渋々,しぶしぶ,N3
締め切り,しめきり,N3
# ===== Wave 35: Collection / learning =====,,
収集,しゅうしゅう,N3
執着,しゅうちゃく,N3
習得,しゅうとく,N3
出版社,しゅっぱんしゃ,N3
# ===== Wave 35: Praise / soy sauce / quantity =====,,
賞賛,しょうさん,N3
醤油,しょうゆ,N3
少量,しょうりょう,N3
知り合い,しりあい,N3
# ===== Wave 35: Invasion / situation =====,,
侵攻,しんこう,N3
侵略,しんりゃく,N3
事態,じたい,N3
実情,じつじょう,N3
# ===== Wave 35: Obedient / carpet / refreshing =====,,
従順,じゅうじゅん,N3
絨毯,じゅうたん,N3
純朴,じゅんぼく,N3
清々しい,すがすがしい,N3
